YEAR,INTERSECTION_NAME,TOTAL_COLLISIONS,MINOR_INJURIES,MAJOR_INJURIES,FATALITIES,FOLLOWED_TOO_CLOSELY,STRUCK_PARKED_VEHICLE,IMPROPER_LANE_CHANGE,RAN_OFF_ROAD,FAILED_TO_YIELD_RIGHT_OF_WAY(NO_CONTROL),BACKED_UNSAFELY,LEFT_OF_CENTRE,LEFT_TURN_ACROSS_PATH,ANIMAL_ACTION,IMPROPER_TURN,STOP_SIGN_VIOLATION,OTHER,PEDESTRIAN_ERROR/VIOLATION,IMPROPER_PASSING,FAILED_TO_YIELD_TO_PEDESTRIAN,IMPROPER_LOADING,DRIVERLESS_VEHICLE,FAILED_TO_OBSERVE_TRAFFIC_SIGNAL,FAILED_TO_YIELD_TO_CYCLIST,SIGNED_FORCED_TURN_VIOLATION,CYCLST_ERROR/VIOLATION,OVERSIZE_VEHICLE,UNKNOWN,ONE_WAY_VIOLATION,YIELD_SIGN_VIOLATION,INANIMATE_OBJECT_ACTION,OPENED_DOOR_INTO_TRAFFIC,LATITUDE,LONGITUDE,LOCATION
2011,62 AVENUE & ANTHONY HENDAY DRIVE NW,32,2,0,0,27,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,53.4950957,-113.6593575,"(53.4950957, -113.6593575)"
2011,JASPER AVENUE & 109 STREET NW,32,6,0,0,19,0,6,0,0,1,0,2,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,53.5409391,-113.5084386,"(53.5409391, -113.5084386)"
2011,STONY PLAIN ROAD & 142 STREET NW,32,3,0,0,17,0,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,53.5429243,-113.5657057,"(53.5429243, -113.5657057)"
2011,127 AVENUE & 97 STREET NW,31,8,0,0,14,0,0,0,0,0,1,11,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,53.5847806,-113.4920059,"(53.5847806, -113.4920059)"
2011,82 AVENUE & 109 STREET NW,31,6,0,0,16,0,2,1,0,1,0,7,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,53.5181009,-113.5120439,"(53.5181009, -113.5120439)"
2011,111 AVENUE & 124 STREET NW,30,5,0,0,10,0,0,0,0,0,1,15,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,53.5588944,-113.5358954,"(53.5588944, -113.5358954)"
2011,63 AVENUE & 91 STREET NW,30,4,0,0,25,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,53.4998878,-113.4672152,"(53.4998878, -113.4672152)"
2011,ARGYLL ROAD & 83 STREET NW,30,5,0,0,19,0,0,2,0,0,0,6,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,53.5032538,-113.4527847,"(53.5032538, -113.4527847)"
2011,YELLOWHEAD TRAIL & 82 STREET NW,30,11,2,0,14,0,3,3,0,2,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,53.5822545,-113.4673325,"(53.5822545, -113.4673325)"
2011,104 AVENUE & 109 STREET NW,29,5,1,0,14,0,0,1,0,1,0,6,0,0,0,0,0,0,2,0,0,4,0,0,1,0,0,0,0,0,0,53.5462265,-113.5084242,"(53.5462265, -113.5084242)"
